Date : 2020-04-29 07:38:19
Directory : e:\DATA\document\VsCode\geofs_app
Total : 299 files,  937723 codes, 520162 comments, 172076 blanks, all 1629961 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| static\js\platform.js                                                                | JavaScript |      1,482 |          2 |          0 |      1,484 |
| static\js\sdk.js                                                                     | JavaScript |        166 |         23 |          1 |        190 |
| static\origin\GeoFS - Free Multiplayer Flight Simulator.html                         | HTML       |      1,077 |         54 |        147 |      1,278 |
| static\origin\GeoFS - Free Multiplayer Flight Simulator_files\ads(1).html            | HTML       |          1 |          1 |          1 |          3 |
| static\origin\GeoFS - Free Multiplayer Flight Simulator_files\ads.html               | HTML       |          2 |          1 |          0 |          3 |
| static\origin\GeoFS - Free Multiplayer Flight Simulator_files\cookie_push.html       | HTML       |          8 |          1 |          1 |         10 |
| static\origin\GeoFS - Free Multiplayer Flight Simulator_files\geofs.js               | JavaScript |     23,965 |         12 |        174 |     24,151 |
| static\origin\GeoFS - Free Multiplayer Flight Simulator_files\iframe.html            | HTML       |          2 |          1 |          0 |          3 |
| static\origin\GeoFS - Free Multiplayer Flight Simulator_files\saved_resource(1).html | HTML       |          2 |          1 |          0 |          3 |
| static\origin\GeoFS - Free Multiplayer Flight Simulator_files\saved_resource(2).html | HTML       |          2 |          1 |          0 |          3 |
| static\origin\GeoFS - Free Multiplayer Flight Simulator_files\saved_resource(3).html | HTML       |          1 |          1 |          1 |          3 |
| static\origin\GeoFS - Free Multiplayer Flight Simulator_files\saved_resource(4).html | HTML       |          2 |          1 |          0 |          3 |
| static\origin\GeoFS - Free Multiplayer Flight Simulator_files\saved_resource.html    | HTML       |          2 |          1 |          0 |          3 |
| static\origin\GeoFS - Free Multiplayer Flight Simulator_files\xd_arbiter.html        | HTML       |         47 |          1 |          1 |         49 |
| static\origin\GeoFS - Free Multiplayer Flight Simulator_files\zrt_lookup.html        | HTML       |         31 |          1 |          0 |         32 |
| static\source.html                                                                   | HTML       |      1,735 |         66 |         40 |      1,841 |
| Total                                                                                |            |    937,723 |    520,162 |    172,076 |  1,629,961 |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
